Unnamed: 0,Name,Nachname Vorname,Nachname,Vorname,Geburtsdatum
11000,"Vogelgesang, Emanuel",Vogelgesang Emanuel,Vogelgesang,Emanuel,5. Dezbr. 1856
11001,"Vogelsinger, Gustav Emil",Vogelsinger Gustav Emil,Vogelsinger,Gustav Emil,.
11002,"Voget, Hermann",Voget Hermann,Voget,Hermann, Januar 1855
11003,"Voget, Karl Oktavius",Voget Karl Oktavius,Voget,Karl Oktavius,5. Dezbr. 1808
11004,"Vogl, Johann Baptist",Vogl Johann Baptist,Vogl,Johann Baptist,13. März 1818
11005,"Vogl, Johann Nepomuk",Vogl Johann Nepomuk,Vogl,Johann Nepomuk,7. Februar 1802
11006,"Vogler, Max",Vogler Max,Vogler,Max,13. Juni1854
11007,"Vogt, Eduard Franz Anselm",Vogt Eduard Franz Anselm,Vogt,Eduard Franz Anselm,20. April 1814
11008,"Vogt, Karl Wilhelm",Vogt Karl Wilhelm,Vogt,Karl Wilhelm,29. Juli 1874
11009,"Vogt, Karl",Vogt Karl,Vogt,Karl,5. Juli 1817
11010,"Vogtherr, Johann Albrecht",Vogtherr Johann Albrecht,Vogtherr,Johann Albrecht,20. Februar 1887
11011,"Vögtlin, Adolf",Vögtlin Adolf,Vögtlin,Adolf,.
11012,"Voigt, Helene",Voigt Helene,Voigt,Helene,21. Aug. 1857
11013,"Voigt(-Diederichs), Helene",Voigt Helene,Voigt,Helene,.
11014,"Voigt, Johanna",Voigt Johanna,Voigt,Johanna,.
11015,"Voigt, Klara",Voigt Klara,Voigt,Klara,.
11016,"Voigt, Luise",Voigt Luise,Voigt,Luise,.
11017,"Voigt, R(osa",Voigt Rosa,Voigt,Rosa,10. März 1837
11018,"Voigtel-Bolgiani, Valeska",Voigtel-Bolgiani Valeska,Voigtel-Bolgiani,Valeska,.
11019,"Volbehr, Lu",Volbehr Lu,Volbehr,Lu,5. Juni1871
11020,"Völckers, Adolf",Völckers Adolf,Völckers,Adolf,30. Nov.1859
11021,"Volderauer, Friedrich Maria",Volderauer Friedrich Maria,Volderauer,Friedrich Maria,16. Juni 1844
11022,"Völderndorf (u. Waradein), Otto Freiherr von",Völderndorf Otto,Völderndorf,Otto,12.Juni 1825
11023,"Volgemann, August Heinrich Friedrich",Volgemann August Heinrich Friedrich,Volgemann,August Heinrich Friedrich,6. Dezember 1816
